layer,q_head,chosen_budget,best_l2
11,11,BLOCK_SPARSE@0.200,0.0976
11,12,BLOCK_SPARSE@0.400,0.0939
11,13,DENSE,0.10811620205640793
11,14,DENSE,0.1221332922577858
11,15,DENSE,0.10424653440713882
12,0,DENSE,nan
12,1,DENSE,nan
12,2,DENSE,nan
12,3,DENSE,nan
12,4,DENSE,nan
12,5,DENSE,nan
12,6,DENSE,nan
12,7,DENSE,nan
12,8,DENSE,nan
12,9,DENSE,nan
12,10,DENSE,nan
12,11,DENSE,nan
12,12,DENSE,nan
12,13,DENSE,nan
12,14,DENSE,nan
12,15,DENSE,nan
13,0,DENSE,nan
13,1,DENSE,nan
13,2,DENSE,nan
13,3,DENSE,nan
13,4,DENSE,nan
13,5,DENSE,nan
13,6,DENSE,nan
13,7,DENSE,nan
13,8,DENSE,nan
13,9,DENSE,nan
13,10,DENSE,nan
13,11,DENSE,nan
13,12,DENSE,nan
13,13,DENSE,nan
13,14,DENSE,nan
13,15,DENSE,nan
14,0,DENSE,nan
14,1,DENSE,nan
14,2,DENSE,nan
14,3,DENSE,nan
14,4,DENSE,nan
14,5,DENSE,nan
14,6,DENSE,nan
14,7,DENSE,nan
14,8,DENSE,nan
14,9,DENSE,nan
14,10,DENSE,nan
14,11,DENSE,nan
14,12,DENSE,nan
14,13,DENSE,nan
14,14,DENSE,nan
14,15,DENSE,nan
15,0,BLOCK_SPARSE@0.400,0.0829
15,1,DENSE,0.10351386666297913
15,2,BLOCK_SPARSE@0.400,0.0959
15,3,BLOCK_SPARSE@0.400,0.0808
15,4,BLOCK_SPARSE@0.400,0.0899
15,5,BLOCK_SPARSE@0.200,0.0999
15,6,BLOCK_SPARSE@0.400,0.0962
15,7,BLOCK_SPARSE@0.400,0.0882
15,8,BLOCK_SPARSE@0.400,0.0988
15,9,BLOCK_SPARSE@0.400,0.0877
15,10,BLOCK_SPARSE@0.400,0.1000
15,11,BLOCK_SPARSE@0.400,0.0892
15,12,BLOCK_SPARSE@0.200,0.0998
15,13,BLOCK_SPARSE@0.200,0.0975
15,14,BLOCK_SPARSE@0.200,0.0948
15,15,BLOCK_SPARSE@0.200,0.0922
16,0,DENSE,nan
16,1,DENSE,nan
16,2,DENSE,nan
16,3,DENSE,nan
16,4,DENSE,nan
16,5,DENSE,nan
16,6,DENSE,nan
16,7,DENSE,nan
16,8,DENSE,nan
16,9,DENSE,nan
16,10,DENSE,nan
16,11,DENSE,nan
16,12,DENSE,nan
16,13,DENSE,nan
16,14,DENSE,nan
16,15,DENSE,nan
17,0,DENSE,nan
17,1,DENSE,nan
17,2,DENSE,nan
17,3,DENSE,nan
17,4,DENSE,nan
17,5,DENSE,nan
17,6,DENSE,nan
17,7,DENSE,nan
17,8,DENSE,nan
17,9,DENSE,nan
17,10,DENSE,nan
17,11,DENSE,nan
17,12,DENSE,nan
17,13,DENSE,nan
17,14,DENSE,nan
17,15,DENSE,nan
18,0,DENSE,nan
18,1,DENSE,nan
18,2,DENSE,nan
18,3,DENSE,nan
18,4,DENSE,nan
18,5,DENSE,nan
18,6,DENSE,nan
18,7,DENSE,nan
18,8,DENSE,nan
18,9,DENSE,nan
18,10,DENSE,nan
18,11,DENSE,nan
18,12,DENSE,nan
18,13,DENSE,nan
18,14,DENSE,nan
18,15,DENSE,nan
19,0,DENSE,0.12616269290447235
19,1,DENSE,0.11795926839113235
19,2,DENSE,0.12232845276594162
19,3,DENSE,0.12323437631130219
19,4,DENSE,0.11271437257528305
19,5,DENSE,0.1120913177728653
